lang_pair,clcs_opus,clcs_nllb
hi-pl,0.45999999999999996,0.5733333333333334
pt-sl,0.7266666666666667,0.6133333333333333
sl-zh,0.6733333333333333,0.56
de-hi,0.5133333333333333,0.6266666666666666
pl-ru,0.6266666666666666,0.7333333333333334
bs-ro,0.6133333333333334,0.7200000000000001
he-zh,0.5866666666666667,0.6933333333333334
da-pt,0.7866666666666667,0.68
id-sr,0.54,0.6466666666666666
ar-hi,0.4666666666666666,0.5666666666666668
hi-hu,0.4333333333333333,0.5333333333333333
pl-uk,0.6533333333333333,0.7533333333333333
ar-nl,0.56,0.66
ar-he,0.54,0.64
de-lv,0.66,0.56
ar-uk,0.5466666666666667,0.6466666666666666
hu-sl,0.6733333333333333,0.58
hi-pt,0.5266666666666667,0.62
nl-uk,0.6133333333333334,0.7066666666666667
he-sr,0.52,0.6133333333333333
de-it,0.6333333333333333,0.7200000000000001
pl-sl,0.7200000000000001,0.6333333333333333
fr-he,0.5733333333333334,0.66
lv-sv,0.66,0.5733333333333334
he-id,0.5333333333333333,0.62
de-ru,0.6333333333333334,0.7200000000000001
de-nl,0.66,0.7466666666666667
de-he,0.5333333333333333,0.62
da-sv,0.7533333333333333,0.6666666666666666
fi-he,0.5,0.5866666666666667
es-sl,0.6866666666666666,0.6
hr-lv,0.6133333333333333,0.5266666666666667
hu-lv,0.6333333333333333,0.5466666666666667
he-pl,0.52,0.6066666666666666
bs-de,0.6333333333333334,0.7199999999999999
da-lv,0.64,0.5599999999999999
ar-pl,0.5533333333333333,0.6333333333333334
bs-sr,0.6666666666666666,0.7466666666666667
bs-fr,0.6066666666666666,0.6866666666666666
pt-ro,0.7533333333333334,0.6733333333333333
hi-sl,0.47333333333333333,0.5533333333333333
ar-es,0.5733333333333334,0.6533333333333333
hr-ro,0.6133333333333334,0.6933333333333334
ro-sl,0.7333333333333333,0.6533333333333333
ar-fr,0.5666666666666668,0.6466666666666666
el-hi,0.5666666666666668,0.6466666666666666
da-sl,0.7066666666666667,0.6333333333333333
da-hr,0.7133333333333334,0.64
pt-sr,0.6733333333333333,0.6
fi-ru,0.66,0.5866666666666667
ro-zh,0.6533333333333333,0.58
cs-ru,0.6133333333333333,0.6866666666666666
cs-fr,0.6533333333333333,0.7266666666666667
hi-sr,0.49333333333333335,0.5666666666666667
ar-lv,0.5733333333333334,0.6466666666666666
de-fi,0.5866666666666668,0.66
ar-ro,0.5733333333333334,0.6466666666666666
ar-sl,0.5666666666666668,0.64
hu-sv,0.6866666666666666,0.6133333333333334
lv-pl,0.6466666666666666,0.5733333333333334
ru-sl,0.7000000000000001,0.6333333333333333
el-hr,0.6133333333333333,0.68
nl-ru,0.6466666666666666,0.7133333333333334
de-sl,0.7333333333333334,0.6666666666666666
cs-sv,0.7000000000000001,0.6333333333333333
fr-sl,0.7200000000000001,0.6533333333333333
hr-zh,0.6,0.5333333333333333
cs-hi,0.5066666666666667,0.5733333333333334
sr-uk,0.64,0.7066666666666667
fr-lv,0.6333333333333333,0.5666666666666667
el-pl,0.66,0.7266666666666667
bs-uk,0.64,0.7066666666666667
fr-pt,0.7666666666666666,0.7000000000000001
el-fi,0.5866666666666666,0.6466666666666666
it-pt,0.7600000000000001,0.7000000000000001
fr-uk,0.6733333333333333,0.7333333333333334
es-he,0.5933333333333333,0.6533333333333333
cs-lv,0.5933333333333334,0.5333333333333333
ro-ru,0.6733333333333333,0.7333333333333334
bs-zh,0.6066666666666667,0.5466666666666667
el-he,0.5466666666666667,0.6066666666666667
de-id,0.6200000000000001,0.68
el-sl,0.66,0.6000000000000001
he-it,0.5933333333333334,0.6533333333333333
ar-ru,0.5666666666666668,0.6266666666666666
id-pl,0.66,0.6066666666666666
es-sv,0.7200000000000001,0.6666666666666666
de-uk,0.6666666666666666,0.7200000000000001
it-pl,0.6666666666666666,0.7200000000000001
fr-nl,0.6866666666666666,0.7400000000000001
hu-zh,0.62,0.5666666666666665
pl-zh,0.66,0.6066666666666666
el-pt,0.7000000000000001,0.6466666666666666
cs-sr,0.6,0.6533333333333333
bs-pt,0.6866666666666666,0.6333333333333333
hr-sr,0.6533333333333333,0.7066666666666667
it-uk,0.66,0.7133333333333334
hi-nl,0.5666666666666667,0.62
bs-it,0.58,0.6333333333333333
bs-pl,0.66,0.7133333333333333
da-ru,0.7666666666666666,0.7133333333333334
ar-id,0.6000000000000001,0.6533333333333333
de-zh,0.6666666666666666,0.6133333333333334
el-ru,0.5933333333333334,0.6466666666666666
it-lv,0.62,0.5666666666666668
ar-da,0.5933333333333334,0.6466666666666666
fi-uk,0.5933333333333334,0.6466666666666666
nl-sl,0.6999999999999998,0.6466666666666666
da-pl,0.7400000000000001,0.6933333333333334
hu-pl,0.6666666666666666,0.7133333333333334
bs-nl,0.6466666666666666,0.6933333333333334
el-uk,0.6733333333333333,0.7200000000000001
fr-hu,0.6533333333333333,0.7000000000000001
cs-ro,0.6733333333333333,0.7200000000000001
bs-es,0.58,0.6266666666666667
de-sr,0.6133333333333333,0.66
pt-ru,0.7266666666666667,0.68
fr-ru,0.7000000000000001,0.7466666666666667
es-zh,0.66,0.7066666666666667
it-sr,0.6,0.6466666666666666
hr-sl,0.7266666666666667,0.68
ru-sr,0.6666666666666666,0.7133333333333333
hr-uk,0.64,0.6866666666666666
he-lv,0.5466666666666667,0.5933333333333334
es-id,0.68,0.7266666666666667
hr-nl,0.7066666666666667,0.66
fr-sv,0.6866666666666666,0.64
es-it,0.7933333333333333,0.7466666666666667
id-pt,0.66,0.7066666666666667
id-it,0.68,0.7266666666666666
el-zh,0.6133333333333333,0.5666666666666668
lv-uk,0.54,0.5866666666666666
el-nl,0.6666666666666666,0.6200000000000001
fr-pl,0.68,0.7200000000000001
pl-sr,0.64,0.68
hu-pt,0.66,0.62
da-uk,0.6733333333333333,0.7133333333333334
bs-lv,0.5866666666666668,0.5466666666666667
cs-pt,0.6933333333333334,0.6533333333333333
cs-pl,0.68,0.7200000000000001
fi-sv,0.6466666666666666,0.6066666666666666
cs-zh,0.6266666666666666,0.5866666666666666
el-hu,0.68,0.64
id-ro,0.6866666666666666,0.6466666666666666
es-nl,0.68,0.7200000000000001
hr-pt,0.6733333333333333,0.6333333333333333
ar-hr,0.5533333333333333,0.5933333333333334
da-sr,0.62,0.66
ar-el,0.6000000000000001,0.64
fi-sl,0.5666666666666667,0.6066666666666666
ar-sr,0.5866666666666667,0.6266666666666666
fr-ro,0.7666666666666666,0.7266666666666667
da-zh,0.6266666666666667,0.6666666666666666
da-it,0.7400000000000001,0.7066666666666667
hu-ro,0.6466666666666666,0.68
sl-uk,0.66,0.6266666666666666
bs-he,0.58,0.6133333333333334
it-nl,0.6666666666666666,0.7000000000000001
