model,global_clcs,mean_kappa
xlmr-base,0.7896394915625685,0.6744220500656849
aya-expanse,0.7544926583388122,0.6283051496868123
mbert,0.732851194389656,0.5262002580701699
llama3.1,0.6991379940097889,0.529432129124583
mdeberta,0.6534717656512529,0.36507441514925404
