lang_a,lang_b,clcs
ar,bg,0.6454293628808865
ar,bs,0.703601108033241
ar,cs,0.7617728531855956
ar,da,0.7285318559556787
ar,de,0.7950138504155124
ar,el,0.8033240997229917
ar,es,0.8005540166204986
ar,fi,0.6952908587257618
ar,fr,0.8088642659279779
ar,he,0.8060941828254847
ar,hi,0.7285318559556787
ar,hr,0.7313019390581718
ar,hu,0.703601108033241
ar,id,0.778393351800554
ar,it,0.8005540166204986
ar,lv,0.6648199445983379
ar,nl,0.7977839335180056
ar,pl,0.775623268698061
ar,pt,0.8060941828254847
ar,ro,0.8088642659279779
ar,ru,0.7839335180055401
ar,sl,0.7229916897506925
ar,sr,0.7091412742382271
ar,sv,0.7506925207756233
ar,uk,0.7645429362880887
ar,zh,0.7590027700831025
bg,bs,0.6398891966759003
bg,cs,0.6731301939058172
bg,da,0.631578947368421
bg,de,0.6620498614958449
bg,el,0.6648199445983379
bg,es,0.6620498614958449
bg,fi,0.6398891966759003
bg,fr,0.667590027700831
bg,he,0.6537396121883656
bg,hi,0.6094182825484764
bg,hr,0.6398891966759003
bg,hu,0.6537396121883656
bg,id,0.6703601108033241
bg,it,0.6620498614958449
bg,lv,0.6371191135734072
bg,nl,0.6592797783933518
bg,pl,0.6537396121883656
bg,pt,0.6565096952908587
bg,ro,0.6565096952908587
bg,ru,0.6592797783933518
bg,sl,0.6232686980609419
bg,sr,0.6121883656509696
bg,sv,0.6620498614958449
bg,uk,0.6565096952908587
bg,zh,0.6260387811634349
bs,cs,0.7617728531855956
bs,da,0.7673130193905817
bs,de,0.7617728531855956
bs,el,0.7534626038781164
bs,es,0.778393351800554
bs,fi,0.7063711911357341
bs,fr,0.7728531855955678
bs,he,0.7839335180055401
bs,hi,0.6925207756232687
bs,hr,0.8587257617728532
bs,hu,0.6980609418282548
bs,id,0.7479224376731302
bs,it,0.7479224376731302
bs,lv,0.6814404432132964
bs,nl,0.7617728531855956
bs,pl,0.7673130193905817
bs,pt,0.7590027700831025
bs,ro,0.7368421052631579
bs,ru,0.7340720221606648
bs,sl,0.7479224376731302
bs,sr,0.7340720221606648
bs,sv,0.7340720221606648
bs,uk,0.7368421052631579
bs,zh,0.7146814404432132
cs,da,0.778393351800554
cs,de,0.8033240997229917
cs,el,0.817174515235457
cs,es,0.8559556786703602
cs,fi,0.7313019390581718
cs,fr,0.8254847645429363
cs,he,0.8116343490304709
cs,hi,0.7202216066481995
cs,hr,0.7867036011080333
cs,hu,0.7340720221606648
cs,id,0.8282548476454293
cs,it,0.8421052631578947
cs,lv,0.6897506925207756
cs,nl,0.8421052631578947
cs,pl,0.8365650969529086
cs,pt,0.8448753462603878
cs,ro,0.814404432132964
cs,ru,0.8088642659279779
cs,sl,0.7811634349030471
cs,sr,0.7146814404432132
cs,sv,0.8005540166204986
cs,uk,0.7673130193905817
cs,zh,0.7673130193905817
da,de,0.817174515235457
da,el,0.7839335180055401
da,es,0.7950138504155124
da,fi,0.7063711911357341
da,fr,0.8088642659279779
da,he,0.775623268698061
da,hi,0.7229916897506925
da,hr,0.7590027700831025
da,hu,0.7368421052631579
da,id,0.817174515235457
da,it,0.817174515235457
da,lv,0.6703601108033241
da,nl,0.8227146814404432
da,pl,0.8088642659279779
da,pt,0.8116343490304709
da,ro,0.7977839335180056
da,ru,0.7590027700831025
da,sl,0.7479224376731302
da,sr,0.7257617728531855
da,sv,0.8033240997229917
da,uk,0.7534626038781164
da,zh,0.7534626038781164
de,el,0.8448753462603878
de,es,0.8559556786703602
de,fi,0.7091412742382271
de,fr,0.8642659279778393
de,he,0.8310249307479224
de,hi,0.7368421052631579
de,hr,0.7922437673130194
de,hu,0.7700831024930748
de,id,0.8337950138504155
de,it,0.8614958448753463
de,lv,0.6842105263157895
de,nl,0.889196675900277
de,pl,0.8337950138504155
de,pt,0.8448753462603878
de,ro,0.8365650969529086
de,ru,0.814404432132964
de,sl,0.739612188365651
de,sr,0.739612188365651
de,sv,0.8282548476454293
de,uk,0.7977839335180056
de,zh,0.8254847645429363
el,es,0.8448753462603878
el,fi,0.6952908587257618
el,fr,0.8365650969529086
el,he,0.8088642659279779
el,hi,0.7285318559556787
el,hr,0.7645429362880887
el,hu,0.7534626038781164
el,id,0.8393351800554016
el,it,0.8365650969529086
el,lv,0.6952908587257618
el,nl,0.8365650969529086
el,pl,0.8393351800554016
el,pt,0.8365650969529086
el,ro,0.8227146814404432
el,ru,0.853185595567867
el,sl,0.7423822714681441
